─── Behaviour-Cloning Warm Start ───
Expert      : stir(60.0, 80.0) light(900.0, 1000.0), harvest = clip(1.0*(od/0.015 - 1), 0, 0.3)
Demo mix    : {0: 0.4, 1: 0.4, 2: 0.2}
Episodes    : 24 | BC epochs: 10

  Calibrating VecNormalize with 2000 random steps...
[EnvDebug] Step: 3500, Active: 1600, Mass: 123.99, OD: 0.0207, Turb: 20.5915, pH: 8.94, Shock: 1.00, Clump: 1.01, MeanX: 0.00, RGB: 0.98, Rew: 0.137, Done: False
[EnvDebug] Step: 4000, Active: 1219, Mass: 118.03, OD: 0.0197, Turb: 19.7715, pH: 8.94, Shock: 1.00, Clump: 1.01, MeanX: 0.00, RGB: 0.98, Rew: 0.141, Done: False
[EnvDebug] Step: 4500, Active: 930, Mass: 112.77, OD: 0.0188, Turb: 18.5283, pH: 8.94, Shock: 1.00, Clump: 1.02, MeanX: 0.00, RGB: 0.98, Rew: 0.145, Done: False
[EnvDebug] Step: 5000, Active: 1405, Mass: 106.93, OD: 0.0178, Turb: 17.7052, pH: 8.94, Shock: 1.00, Clump: 1.01, MeanX: 0.00, RGB: 0.98, Rew: 0.148, Done: False
[EnvDebug] Step: 5500, Active: 1094, Mass: 104.93, OD: 0.0175, Turb: 17.5769, pH: 8.87, Shock: 1.00, Clump: 1.02, MeanX: 0.00, RGB: 0.98, Rew: 0.150, Done: False
[EnvDebug] Step: 6000, Active: 1092, Mass: 132.46, OD: 0.0221, Turb: 21.6793, pH: 8.94, Shock: 1.00, Clump: 1.03, MeanX: 0.00, RGB: 0.98, Rew: 0.131, Done: False
[EnvDebug] Step: 6500, Active: 1642, Mass: 124.55, OD: 0.0208, Turb: 20.7252, pH: 8.94, Shock: 1.00, Clump: 1.02, MeanX: 0.00, RGB: 0.98, Rew: 0.136, Done: False
[EnvDebug] Step: 7000, Active: 1236, Mass: 117.57, OD: 0.0196, Turb: 19.1029, pH: 8.94, Shock: 1.00, Clump: 1.02, MeanX: 0.00, RGB: 0.98, Rew: 0.142, Done: False
[EnvDebug] Step: 7200, Active: 1234, Mass: 128.61, OD: 0.0214, Turb: 21.4762, pH: 8.94, Shock: 1.00, Clump: 1.03, MeanX: 0.00, RGB: 0.98, Rew: 0.134, Done: True
  demo ep   3/24  D1  stir=  74.6 light=  954.4 mean_frac=0.143  steps=7200  harvested=  191.3mg  time_avg_od=0.0189
[EnvDebug] Step: 500, Active: 266, Mass: 19.43, OD: 0.0032, Turb: 3.2776, pH: 8.95, Shock: 1.00, Clump: 1.00, MeanX: 0.00, RGB: 0.98, Rew: 0.094, Done: False
[EnvDebug] Step: 1000, Active: 265, Mass: 22.99, OD: 0.0038, Turb: 3.7981, pH: 8.94, Shock: 1.00, Clump: 1.00, MeanX: 0.00, RGB: 0.98, Rew: 0.105, Done: False
[EnvDebug] Step: 1500, Active: 264, Mass: 27.27, OD: 0.0045, Turb: 4.4732, pH: 8.94, Shock: 1.00, Clump: 1.00, MeanX: 0.00, RGB: 0.98, Rew: 0.117, Done: False
[EnvDebug] Step: 2000, Active: 262, Mass: 32.22, OD: 0.0054, Turb: 5.2797, pH: 8.94, Shock: 1.00, Clump: 1.01, MeanX: 0.00, RGB: 0.98, Rew: 0.128, Done: False
[EnvDebug] Step: 2500, Active: 523, Mass: 38.16, OD: 0.0064, Turb: 6.4823, pH: 8.94, Shock: 1.00, Clump: 1.01, MeanX: 0.00, RGB: 0.98, Rew: 0.137, Done: False
[EnvDebug] Step: 3000, Active: 520, Mass: 45.10, OD: 0.0075, Turb: 7.5415, pH: 8.94, Shock: 1.00, Clump: 1.01, MeanX: 0.00, RGB: 0.98, Rew: 0.147, Done: False
[EnvDebug] Step: 3500, Active: 518, Mass: 53.39, OD: 0.0089, Turb: 8.9353, pH: 8.94, Shock: 1.00, Clump: 1.01, MeanX: 0.00, RGB: 0.98, Rew: 0.155, Done: False
[EnvDebug] Step: 4000, Active: 514, Mass: 62.88, OD: 0.0105, Turb: 10.5457, pH: 8.94, Shock: 1.00, Clump: 1.02, MeanX: 0.00, RGB: 0.98, Rew: 0.160, Done: False
[EnvDebug] Step: 4500, Active: 1023, Mass: 73.93, OD: 0.0123, Turb: 12.4820, pH: 8.94, Shock: 1.00, Clump: 1.01, MeanX: 0.00, RGB: 0.98, Rew: 0.160, Done: False
[EnvDebug] Step: 5000, Active: 1020, Mass: 86.86, OD: 0.0145, Turb: 14.5464, pH: 8.94, Shock: 1.00, Clump: 1.01, MeanX: 0.00, RGB: 0.98, Rew: 0.158, Done: False
[EnvDebug] Step: 5500, Active: 999, Mass: 99.86, OD: 0.0166, Turb: 16.3857, pH: 8.94, Shock: 1.00, Clump: 1.01, MeanX: 0.00, RGB: 0.98, Rew: 0.152, Done: False
[EnvDebug] Step: 6000, Active: 991, Mass: 116.74, OD: 0.0195, Turb: 19.5518, pH: 8.94, Shock: 1.00, Clump: 1.02, MeanX: 0.00, RGB: 0.98, Rew: 0.141, Done: False
[EnvDebug] Step: 6500, Active: 922, Mass: 109.13, OD: 0.0182, Turb: 18.0987, pH: 8.94, Shock: 1.00, Clump: 1.02, MeanX: 0.00, RGB: 0.98, Rew: 0.147, Done: False
[EnvDebug] Step: 7000, Active: 1357, Mass: 111.12, OD: 0.0185, Turb: 18.4447, pH: 8.95, Shock: 1.00, Clump: 1.02, MeanX: 0.00, RGB: 0.98, Rew: 0.145, Done: False
[EnvDebug] Step: 7200, Active: 1354, Mass: 118.70, OD: 0.0198, Turb: 19.5292, pH: 8.94, Shock: 1.00, Clump: 1.02, MeanX: 0.00, RGB: 0.98, Rew: 0.140, Done: True
  demo ep   4/24  D2  stir=  76.3 light=  900.3 mean_frac=0.045  steps=7200  harvested=   40.1mg  time_avg_od=0.0150
[EnvDebug] Step: 500, Active: 531, Mass: 40.46, OD: 0.0067, Turb: 6.6739, pH: 8.94, Shock: 1.00, Clump: 1.00, MeanX: 0.00, RGB: 0.99, Rew: 0.142, Done: False
[EnvDebug] Step: 1000, Active: 528, Mass: 51.23, OD: 0.0085, Turb: 8.4647, pH: 8.94, Shock: 1.00, Clump: 1.01, MeanX: 0.00, RGB: 0.99, Rew: 0.154, Done: False
[EnvDebug] Step: 1500, Active: 526, Mass: 65.19, OD: 0.0109, Turb: 10.9891, pH: 8.94, Shock: 1.00, Clump: 1.01, MeanX: 0.00, RGB: 0.99, Rew: 0.162, Done: False
[EnvDebug] Step: 2000, Active: 1045, Mass: 82.16, OD: 0.0137, Turb: 13.5861, pH: 8.94, Shock: 1.00, Clump: 1.01, MeanX: 0.00, RGB: 0.99, Rew: 0.160, Done: False
[EnvDebug] Step: 2500, Active: 1018, Mass: 101.78, OD: 0.0170, Turb: 16.9512, pH: 8.94, Shock: 1.00, Clump: 1.02, MeanX: 0.00, RGB: 0.99, Rew: 0.152, Done: False
[EnvDebug] Step: 3000, Active: 1012, Mass: 128.22, OD: 0.0214, Turb: 21.2428, pH: 8.94, Shock: 1.00, Clump: 1.02, MeanX: 0.00, RGB: 0.99, Rew: 0.135, Done: False
[EnvDebug] Step: 3500, Active: 1543, Mass: 122.25, OD: 0.0204, Turb: 19.7093, pH: 8.94, Shock: 1.00, Clump: 1.02, MeanX: 0.00, RGB: 0.99, Rew: 0.138, Done: False
[EnvDebug] Step: 4000, Active: 1209, Mass: 120.45, OD: 0.0201, Turb: 20.0976, pH: 8.94, Shock: 1.00, Clump: 1.02, MeanX: 0.00, RGB: 0.99, Rew: 0.140, Done: False
[EnvDebug] Step: 4500, Active: 902, Mass: 113.23, OD: 0.0189, Turb: 18.5233, pH: 8.94, Shock: 1.00, Clump: 1.03, MeanX: 0.00, RGB: 0.99, Rew: 0.145, Done: False
[EnvDebug] Step: 5000, Active: 1391, Mass: 109.80, OD: 0.0183, Turb: 18.4492, pH: 8.94, Shock: 1.00, Clump: 1.02, MeanX: 0.00, RGB: 0.99, Rew: 0.147, Done: False
[EnvDebug] Step: 5500, Active: 1021, Mass: 101.78, OD: 0.0170, Turb: 16.8930, pH: 8.84, Shock: 1.00, Clump: 1.03, MeanX: 0.00, RGB: 0.99, Rew: 0.152, Done: False
[EnvDebug] Step: 6000, Active: 1016, Mass: 128.19, OD: 0.0214, Turb: 21.0793, pH: 8.94, Shock: 1.00, Clump: 1.03, MeanX: 0.00, RGB: 0.99, Rew: 0.135, Done: False
[EnvDebug] Step: 6500, Active: 1564, Mass: 124.04, OD: 0.0207, Turb: 20.8992, pH: 8.94, Shock: 1.00, Clump: 1.02, MeanX: 0.00, RGB: 0.99, Rew: 0.137, Done: False
[EnvDebug] Step: 7000, Active: 1159, Mass: 115.60, OD: 0.0193, Turb: 19.1277, pH: 8.94, Shock: 1.00, Clump: 1.02, MeanX: 0.00, RGB: 0.99, Rew: 0.143, Done: False
[EnvDebug] Step: 7200, Active: 1154, Mass: 126.42, OD: 0.0211, Turb: 21.0493, pH: 8.94, Shock: 1.00, Clump: 1.02, MeanX: 0.00, RGB: 0.99, Rew: 0.136, Done: True
  demo ep   5/24  D2  stir=  60.7 light=  973.0 mean_frac=0.157  steps=7200  harvested=  217.2mg  time_avg_od=0.0189
[EnvDebug] Step: 500, Active: 2914, Mass: 212.55, OD: 0.0354, Turb: 35.8815, pH: 8.95, Shock: 1.00, Clump: 1.01, MeanX: 0.00, RGB: 0.98, Rew: 0.074, Done: False
[EnvDebug] Step: 1000, Active: 2038, Mass: 181.00, OD: 0.0302, Turb: 30.0989, pH: 8.95, Shock: 1.00, Clump: 1.01, MeanX: 0.00, RGB: 0.98, Rew: 0.094, Done: False
[EnvDebug] Step: 1500, Active: 1429, Mass: 154.79, OD: 0.0258, Turb: 26.1052, pH: 8.95, Shock: 1.00, Clump: 1.02, MeanX: 0.00, RGB: 0.98, Rew: 0.114, Done: False
[EnvDebug] Step: 2000, Active: 984, Mass: 130.06, OD: 0.0217, Turb: 21.0434, pH: 8.94, Shock: 1.00, Clump: 1.03, MeanX: 0.00, RGB: 0.98, Rew: 0.133, Done: False
[EnvDebug] Step: 2500, Active: 1378, Mass: 110.66, OD: 0.0184, Turb: 18.4888, pH: 8.86, Shock: 1.00, Clump: 1.02, MeanX: 0.00, RGB: 0.98, Rew: 0.146, Done: False
[EnvDebug] Step: 3000, Active: 1367, Mass: 135.79, OD: 0.0226, Turb: 22.0520, pH: 8.94, Shock: 1.00, Clump: 1.03, MeanX: 0.00, RGB: 0.98, Rew: 0.128, Done: False
[EnvDebug] Step: 3500, Active: 969, Mass: 118.58, OD: 0.0198, Turb: 19.2347, pH: 8.94, Shock: 1.00, Clump: 1.04, MeanX: 0.00, RGB: 0.98, Rew: 0.141, Done: False
[EnvDebug] Step: 4000, Active: 1537, Mass: 115.37, OD: 0.0192, Turb: 19.0013, pH: 8.94, Shock: 1.00, Clump: 1.02, MeanX: 0.00, RGB: 0.98, Rew: 0.143, Done: False
[EnvDebug] Step: 4500, Active: 1197, Mass: 110.41, OD: 0.0184, Turb: 17.9834, pH: 8.94, Shock: 1.00, Clump: 1.03, MeanX: 0.00, RGB: 0.98, Rew: 0.146, Done: False
[EnvDebug] Step: 5000, Active: 939, Mass: 106.29, OD: 0.0177, Turb: 17.5522, pH: 8.94, Shock: 1.00, Clump: 1.03, MeanX: 0.00, RGB: 0.98, Rew: 0.149, Done: False
[EnvDebug] Step: 5500, Active: 834, Mass: 101.09, OD: 0.0168, Turb: 16.9539, pH: 8.88, Shock: 1.00, Clump: 1.03, MeanX: 0.00, RGB: 0.98, Rew: 0.152, Done: False
[EnvDebug] Step: 6000, Active: 1446, Mass: 122.78, OD: 0.0205, Turb: 19.9593, pH: 8.94, Shock: 1.00, Clump: 1.02, MeanX: 0.00, RGB: 0.98, Rew: 0.137, Done: False
[EnvDebug] Step: 6500, Active: 1142, Mass: 119.23, OD: 0.0199, Turb: 19.6172, pH: 8.94, Shock: 1.00, Clump: 1.03, MeanX: 0.00, RGB: 0.98, Rew: 0.140, Done: False
[EnvDebug] Step: 7000, Active: 893, Mass: 113.87, OD: 0.0190, Turb: 18.4540, pH: 8.94, Shock: 1.00, Clump: 1.04, MeanX: 0.00, RGB: 0.98, Rew: 0.145, Done: False
[EnvDebug] Step: 7200, Active: 1269, Mass: 123.98, OD: 0.0207, Turb: 20.7352, pH: 8.94, Shock: 1.00, Clump: 1.03, MeanX: 0.00, RGB: 0.98, Rew: 0.137, Done: True
  demo ep   6/24  D0  stir=  77.3 light=  954.1 mean_frac=0.248  steps=7200  harvested=  421.0mg  time_avg_od=0.0184
[EnvDebug] Step: 500, Active: 295, Mass: 23.56, OD: 0.0039, Turb: 3.9584, pH: 8.95, Shock: 1.00, Clump: 1.00, MeanX: 0.00, RGB: 0.98, Rew: 0.108, Done: False
[EnvDebug] Step: 1000, Active: 294, Mass: 30.99, OD: 0.0052, Turb: 5.3303, pH: 8.94, Shock: 1.00, Clump: 1.01, MeanX: 0.00, RGB: 0.99, Rew: 0.126, Done: False
[EnvDebug] Step: 1500, Active: 383, Mass: 40.57, OD: 0.0068, Turb: 6.8116, pH: 8.94, Shock: 1.00, Clump: 1.01, MeanX: 0.00, RGB: 0.99, Rew: 0.143, Done: False
[EnvDebug] Step: 2000, Active: 581, Mass: 53.16, OD: 0.0089, Turb: 8.9721, pH: 8.94, Shock: 1.00, Clump: 1.01, MeanX: 0.00, RGB: 0.99, Rew: 0.156, Done: False
[EnvDebug] Step: 2500, Active: 578, Mass: 69.81, OD: 0.0116, Turb: 11.4822, pH: 8.94, Shock: 1.00, Clump: 1.01, MeanX: 0.00, RGB: 0.98, Rew: 0.163, Done: False
[EnvDebug] Step: 3000, Active: 1148, Mass: 90.58, OD: 0.0151, Turb: 14.9594, pH: 8.94, Shock: 1.00, Clump: 1.01, MeanX: 0.00, RGB: 0.98, Rew: 0.157, Done: False
[EnvDebug] Step: 3500, Active: 1144, Mass: 117.88, OD: 0.0196, Turb: 19.4615, pH: 8.94, Shock: 1.00, Clump: 1.01, MeanX: 0.00, RGB: 0.98, Rew: 0.142, Done: False
[EnvDebug] Step: 4000, Active: 946, Mass: 125.18, OD: 0.0209, Turb: 20.8113, pH: 8.95, Shock: 1.00, Clump: 1.02, MeanX: 0.00, RGB: 0.98, Rew: 0.137, Done: False
[EnvDebug] Step: 4500, Active: 1325, Mass: 113.31, OD: 0.0189, Turb: 18.7640, pH: 8.95, Shock: 1.00, Clump: 1.02, MeanX: 0.00, RGB: 0.98, Rew: 0.145, Done: False
[EnvDebug] Step: 5000, Active: 998, Mass: 110.20, OD: 0.0184, Turb: 18.2696, pH: 8.94, Shock: 1.00, Clump: 1.02, MeanX: 0.00, RGB: 0.98, Rew: 0.147, Done: False
[EnvDebug] Step: 5500, Active: 1532, Mass: 109.79, OD: 0.0183, Turb: 18.4936, pH: 8.86, Shock: 1.00, Clump: 1.01, MeanX: 0.00, RGB: 0.98, Rew: 0.147, Done: False
[EnvDebug] Step: 6000, Active: 1528, Mass: 142.57, OD: 0.0238, Turb: 23.4833, pH: 8.94, Shock: 1.00, Clump: 1.02, MeanX: 0.00, RGB: 0.98, Rew: 0.123, Done: False
[EnvDebug] Step: 6500, Active: 1107, Mass: 133.98, OD: 0.0223, Turb: 22.2624, pH: 8.94, Shock: 1.00, Clump: 1.02, MeanX: 0.00, RGB: 0.98, Rew: 0.130, Done: False
[EnvDebug] Step: 7000, Active: 1641, Mass: 127.86, OD: 0.0213, Turb: 21.0561, pH: 8.95, Shock: 1.00, Clump: 1.02, MeanX: 0.00, RGB: 0.98, Rew: 0.134, Done: False
[EnvDebug] Step: 7200, Active: 1639, Mass: 141.73, OD: 0.0236, Turb: 23.7292, pH: 8.94, Shock: 1.00, Clump: 1.02, MeanX: 0.00, RGB: 0.98, Rew: 0.124, Done: True
  demo ep   7/24  D0  stir=  68.5 light=  902.8 mean_frac=0.145  steps=7200  harvested=  200.2mg  time_avg_od=0.0199
[EnvDebug] Step: 500, Active: 322, Mass: 24.27, OD: 0.0040, Turb: 3.9953, pH: 8.94, Shock: 0.98, Clump: 1.00, MeanX: 0.00, RGB: 0.98, Rew: 0.109, Done: False
[EnvDebug] Step: 1000, Active: 321, Mass: 30.29, OD: 0.0050, Turb: 5.0212, pH: 8.94, Shock: 1.00, Clump: 1.00, MeanX: 0.00, RGB: 0.98, Rew: 0.124, Done: False
[EnvDebug] Step: 1500, Active: 321, Mass: 37.92, OD: 0.0063, Turb: 6.3173, pH: 8.94, Shock: 1.00, Clump: 1.00, MeanX: 0.00, RGB: 0.98, Rew: 0.139, Done: False
[EnvDebug] Step: 2000, Active: 641, Mass: 47.15, OD: 0.0079, Turb: 7.7408, pH: 8.94, Shock: 1.00, Clump: 1.00, MeanX: 0.00, RGB: 0.98, Rew: 0.150, Done: False
[EnvDebug] Step: 2500, Active: 640, Mass: 58.67, OD: 0.0098, Turb: 9.8890, pH: 8.94, Shock: 1.00, Clump: 1.01, MeanX: 0.00, RGB: 0.98, Rew: 0.158, Done: False
[EnvDebug] Step: 3000, Active: 636, Mass: 72.64, OD: 0.0121, Turb: 12.2404, pH: 8.94, Shock: 1.00, Clump: 1.01, MeanX: 0.00, RGB: 0.98, Rew: 0.162, Done: False
[EnvDebug] Step: 3500, Active: 1229, Mass: 90.07, OD: 0.0150, Turb: 15.0444, pH: 8.94, Shock: 1.00, Clump: 1.01, MeanX: 0.00, RGB: 0.98, Rew: 0.157, Done: False
[EnvDebug] Step: 4000, Active: 1254, Mass: 109.62, OD: 0.0183, Turb: 18.2225, pH: 8.94, Shock: 1.00, Clump: 1.01, MeanX: 0.00, RGB: 0.98, Rew: 0.147, Done: False
[EnvDebug] Step: 4500, Active: 1032, Mass: 111.09, OD: 0.0185, Turb: 18.6077, pH: 8.94, Shock: 1.00, Clump: 1.02, MeanX: 0.00, RGB: 0.98, Rew: 0.146, Done: False
[EnvDebug] Step: 5000, Active: 795, Mass: 105.06, OD: 0.0175, Turb: 17.3410, pH: 8.94, Shock: 1.00, Clump: 1.02, MeanX: 0.00, RGB: 0.98, Rew: 0.150, Done: False
