Loading model model_data/bc_warmstart/recurrent_ppo_genetic_ibm ...
[EnvDebug] Step: 3500, Active: 189, Mass: 19.05, OD: 0.0032, Turb: 3.2012, pH: 8.94, Shock: 1.00, Clump: 1.00, MeanX: 0.00, RGB: 0.98, Rew: 0.094, Done: False
[EnvDebug] Step: 4000, Active: 188, Mass: 22.60, OD: 0.0038, Turb: 3.6993, pH: 8.94, Shock: 1.00, Clump: 1.01, MeanX: 0.00, RGB: 0.98, Rew: 0.105, Done: False
[EnvDebug] Step: 4500, Active: 376, Mass: 26.89, OD: 0.0045, Turb: 4.5481, pH: 8.94, Shock: 1.00, Clump: 1.01, MeanX: 0.00, RGB: 0.99, Rew: 0.115, Done: False
[EnvDebug] Step: 5000, Active: 374, Mass: 31.81, OD: 0.0053, Turb: 5.2994, pH: 8.94, Shock: 1.00, Clump: 1.01, MeanX: 0.00, RGB: 0.98, Rew: 0.126, Done: False
[EnvDebug] Step: 5500, Active: 372, Mass: 37.68, OD: 0.0063, Turb: 6.2212, pH: 8.94, Shock: 1.00, Clump: 1.01, MeanX: 0.00, RGB: 0.98, Rew: 0.137, Done: False
[EnvDebug] Step: 6000, Active: 369, Mass: 44.46, OD: 0.0074, Turb: 7.3219, pH: 8.94, Shock: 1.00, Clump: 1.01, MeanX: 0.00, RGB: 0.99, Rew: 0.147, Done: False
[EnvDebug] Step: 6500, Active: 736, Mass: 52.59, OD: 0.0088, Turb: 8.5250, pH: 8.94, Shock: 1.00, Clump: 1.01, MeanX: 0.00, RGB: 0.99, Rew: 0.154, Done: False
[EnvDebug] Step: 7000, Active: 734, Mass: 62.04, OD: 0.0103, Turb: 10.2793, pH: 8.94, Shock: 1.00, Clump: 1.01, MeanX: 0.00, RGB: 0.99, Rew: 0.159, Done: False
[EnvDebug] Step: 7200, Active: 732, Mass: 66.17, OD: 0.0110, Turb: 10.8890, pH: 8.94, Shock: 1.00, Clump: 1.01, MeanX: 0.00, RGB: 0.99, Rew: 0.160, Done: True
  [  4/40] seed= 1003 ADV init=   49  steps= 7200  crashed=False  harvested=    0.0mg  time_avg_od=0.0064
[EnvDebug] Step: 500, Active: 637, Mass: 48.84, OD: 0.0081, Turb: 8.1348, pH: 8.94, Shock: 0.99, Clump: 1.00, MeanX: 0.00, RGB: 0.98, Rew: 0.152, Done: False
[EnvDebug] Step: 1000, Active: 633, Mass: 62.26, OD: 0.0104, Turb: 10.2582, pH: 8.94, Shock: 1.00, Clump: 1.01, MeanX: 0.00, RGB: 0.99, Rew: 0.160, Done: False
[EnvDebug] Step: 1500, Active: 630, Mass: 79.32, OD: 0.0132, Turb: 13.3011, pH: 8.94, Shock: 1.00, Clump: 1.01, MeanX: 0.00, RGB: 0.99, Rew: 0.162, Done: False
[EnvDebug] Step: 2000, Active: 1255, Mass: 100.10, OD: 0.0167, Turb: 16.7940, pH: 8.94, Shock: 1.00, Clump: 1.01, MeanX: 0.00, RGB: 0.99, Rew: 0.153, Done: False
[EnvDebug] Step: 2500, Active: 1207, Mass: 121.88, OD: 0.0203, Turb: 20.2699, pH: 8.92, Shock: 1.00, Clump: 1.02, MeanX: 0.00, RGB: 0.99, Rew: 0.139, Done: False
[EnvDebug] Step: 3000, Active: 1201, Mass: 152.06, OD: 0.0253, Turb: 24.8121, pH: 8.94, Shock: 0.99, Clump: 1.03, MeanX: 0.00, RGB: 0.98, Rew: 0.116, Done: False
[EnvDebug] Step: 3500, Active: 1931, Mass: 152.25, OD: 0.0254, Turb: 24.7919, pH: 8.94, Shock: 1.00, Clump: 1.02, MeanX: 0.00, RGB: 0.98, Rew: 0.115, Done: False
[EnvDebug] Step: 4000, Active: 1460, Mass: 144.49, OD: 0.0241, Turb: 23.8169, pH: 8.95, Shock: 1.00, Clump: 1.02, MeanX: 0.00, RGB: 0.98, Rew: 0.122, Done: False
[EnvDebug] Step: 4500, Active: 1124, Mass: 139.88, OD: 0.0233, Turb: 22.8415, pH: 8.95, Shock: 1.00, Clump: 1.03, MeanX: 0.00, RGB: 0.99, Rew: 0.126, Done: False
[EnvDebug] Step: 5000, Active: 1684, Mass: 131.02, OD: 0.0218, Turb: 21.5805, pH: 8.94, Shock: 1.00, Clump: 1.02, MeanX: 0.00, RGB: 0.99, Rew: 0.132, Done: False
[EnvDebug] Step: 5500, Active: 1266, Mass: 123.88, OD: 0.0206, Turb: 20.1702, pH: 8.83, Shock: 1.00, Clump: 1.03, MeanX: 0.00, RGB: 0.99, Rew: 0.137, Done: False
[EnvDebug] Step: 6000, Active: 1263, Mass: 156.15, OD: 0.0260, Turb: 26.4438, pH: 8.94, Shock: 1.00, Clump: 1.03, MeanX: 0.00, RGB: 0.98, Rew: 0.113, Done: False
[EnvDebug] Step: 6500, Active: 1890, Mass: 146.11, OD: 0.0244, Turb: 24.1206, pH: 8.94, Shock: 1.00, Clump: 1.02, MeanX: 0.00, RGB: 0.98, Rew: 0.120, Done: False
[EnvDebug] Step: 7000, Active: 1417, Mass: 137.62, OD: 0.0229, Turb: 22.6877, pH: 8.95, Shock: 1.00, Clump: 1.02, MeanX: 0.00, RGB: 0.98, Rew: 0.127, Done: False
[EnvDebug] Step: 7200, Active: 1415, Mass: 150.87, OD: 0.0251, Turb: 24.7467, pH: 8.94, Shock: 1.00, Clump: 1.03, MeanX: 0.00, RGB: 0.98, Rew: 0.117, Done: True
  [  5/40] seed= 1004     init=  321  steps= 7200  crashed=False  harvested=  263.9mg  time_avg_od=0.0228
[EnvDebug] Step: 500, Active: 555, Mass: 41.73, OD: 0.0070, Turb: 6.8694, pH: 8.94, Shock: 1.00, Clump: 1.00, MeanX: 0.00, RGB: 0.99, Rew: 0.143, Done: False
[EnvDebug] Step: 1000, Active: 553, Mass: 51.47, OD: 0.0086, Turb: 8.4729, pH: 8.94, Shock: 1.00, Clump: 1.00, MeanX: 0.00, RGB: 0.99, Rew: 0.154, Done: False
[EnvDebug] Step: 1500, Active: 549, Mass: 63.22, OD: 0.0105, Turb: 10.3705, pH: 8.94, Shock: 1.00, Clump: 1.01, MeanX: 0.00, RGB: 0.99, Rew: 0.160, Done: False
[EnvDebug] Step: 2000, Active: 1082, Mass: 77.68, OD: 0.0129, Turb: 13.1496, pH: 8.94, Shock: 1.00, Clump: 1.01, MeanX: 0.00, RGB: 0.99, Rew: 0.160, Done: False
[EnvDebug] Step: 2500, Active: 1091, Mass: 95.13, OD: 0.0159, Turb: 15.8776, pH: 8.94, Shock: 1.00, Clump: 1.01, MeanX: 0.00, RGB: 0.99, Rew: 0.155, Done: False
[EnvDebug] Step: 3000, Active: 1085, Mass: 116.15, OD: 0.0194, Turb: 19.2692, pH: 8.94, Shock: 1.00, Clump: 1.02, MeanX: 0.00, RGB: 0.99, Rew: 0.142, Done: False
[EnvDebug] Step: 3500, Active: 1006, Mass: 131.39, OD: 0.0219, Turb: 21.4077, pH: 8.95, Shock: 1.00, Clump: 1.02, MeanX: 0.00, RGB: 0.99, Rew: 0.132, Done: False
